User Name,Review Date,Rating,Review Body
Tom Jett,"Reviewed in the United States on March 10, 2025",5.0 out of 5 stars,"A must read for informed citizens , especially during these times ."
froggyk,"Reviewed in the United States on March 9, 2025",5.0 out of 5 stars,"On Tyranny is a power-packed little book originally published in 2017. The book's main point is that democracy, if valued, must be defended. It is fallible. Through a series of brief essays, Timothy Snyder describes lessons from history - particularly from the fall of democracies in the 20th century - that should guide us in protecting our democracy and responding to the threats that face us today. He concludes with Lesson 20: Be as courageous as you can, with one final sentence (before the epilogue): If none of us are prepared to die for freedom, then all of us will die under tyranny.

This book was gifted to me shortly after publication, and sat on my TBR shelf gathering dust until just recently. It is a guidebook for the times were living in today, I'm afraid - and Professor Snyder surely saw in Trump's first administration the potential for the fall of our democracy. While I fear for America's future, I finished this book feeling determined to use my voice and actions to speak for what I believe in - that love and respect of all of us is right and just - with liberty and justice for all.

Not to say that our current president is the whole problem - the roots of what brought us to today are deftly described in On Tyranny - the disrespect for one another, the weakening of opposition, the disinterest in historical lessons - and on and on. So many of us have taken for granted that democracy was permanent; now I, at least, fear for it.

I strongly recommend that regardless of where you stand politically, you take the time to read On Tyranny."
Janet W,"Reviewed in the United States on March 8, 2025",5.0 out of 5 stars,"I bought three copies of the book to give away over the holidays--and a Kindle edition for me. True story--my next door neighbor, a charming intelligent gentleman over a certain age, got a phone call from his professor daughter. She said, ""Dad, there's this book you have to read!"" And he was able to say, been there/done that, my neighbor gave it to me for Christmas. It should be required reading--it's beautifully, elegantly written. Crisp prose. Read it, act upon it and your grandchildren will never have to ask you why didn't you and your generation stop this whole sale destruction of American democracy?"
Maria K,"Reviewed in the United States on March 7, 2025",5.0 out of 5 stars,"This is a brilliant and accessible text. Must-read for anyone concerned about the dark times America is experiencing today. So many useful and seemingly obvious lessons from history, brought together in a well-written and pithy book. Highly recommend."
Anon,"Reviewed in the United States on March 7, 2025",5.0 out of 5 stars,"Interesting that the divides in this country are almost perfectly reflected here in these customer reviews of this book.
I found the book succinct, informative and illuminating. Also i actually found it optimistic as there are very simple, one would think unobjectionable steps one can take to improve the current situation here. HOWEVER, there are some so captured by bizarre propaganda that i read a review here that objected to the ""look people in the eye, talk"" suggestion.
This hardly sounds radical to a rational mind yet it is taken that way.... My family emigrated from a dangerous country in the 1940's and i can tell you that a Facist's government abuse is traumatizing, then passed down thru generations and something we are toying with now. Let's avoid that EVERYONE should read this book and take it's simple, and benign, advice. Our country's institutions are worth defending and this book gives simple ways we can all do that to save Democracy."
Eugene Metz,"Reviewed in the United States on March 7, 2025",5.0 out of 5 stars,Possibly one of the best short reads of this century
CAJ,"Reviewed in the United States on March 4, 2025",5.0 out of 5 stars,A book for our times. Read in one sitting!
Lucinda,"Reviewed in the United States on March 3, 2025",5.0 out of 5 stars,"This should be required reading for anyone not interested in going back to 1930s Germany. Well-written and concise, Timothy Snyder reminds us of our and Europe's history and calls us to do better."
Glenna K.,"Reviewed in the United States on March 3, 2025",5.0 out of 5 stars,"Timothy Snyder is a brilliant historian. In this brief and to
the point book, he lays out how fraught with disaster our current situation is in the US, and thus, the world.
We simply must wake up, pay attention, and DO whatever we can, politically. This time right now, is when we have a chance to save our democracy from devolving into dictatorship and
oligarchy."
Roberta Madison,"Reviewed in the United States on March 3, 2025",5.0 out of 5 stars,I love this book It is an easy read Well well worth it
Veronica,"Reviewed in the United States on February 28, 2025",5.0 out of 5 stars,"Easy to read. Relating history. To today’s happenings. Frightening. Subtle.
Everyone should read this book. Small. Fast read!"
TOD,"Reviewed in the United States on February 27, 2025",5.0 out of 5 stars,Great book!
C. Routon,"Reviewed in the United States on February 26, 2025",5.0 out of 5 stars,"This book is a short, to the point explanation of historic patterns of tyranny. It's thought provoking and in today's world seems prophetic. This book should be taught in high school government classes. These are all lessons we need to learn before it's too late."
Dr. Jud Newborn,"Reviewed in the United States on February 26, 2025",5.0 out of 5 stars,Everyone should read this book - it is vital now as we struggle to maintain our democracy as we face unprecedent purges and worse. The most important lesson: DO NOT COOPERATE IN ADVANCE. DO NOT SELF-CENSOR. That only paves the way.
ejb7,"Reviewed in the United States on February 23, 2025",5.0 out of 5 stars,Everyone should read this book immediately.
Jessica Coutinho,"Reviewed in the United States on February 22, 2025",5.0 out of 5 stars,"It’s hard to have hope in these times, but knowing where we’ve been helps us to know how to proceed. This is a short read, under an hour, and is a great tool for fighting back against the fascist coup."
screenplay,"Reviewed in the United States on February 22, 2025",5.0 out of 5 stars,I feel compelled to send this book to everyone I know. It is succinct and relevant and offers direction and hope
