User Name,Review Date,Rating,Review Body
Zebley Foster,"Reviewed in the United States on June 17, 2020",5.0 out of 5 stars,I loved this book. I read the eBook then ordered two. One for me to have and one to gift to a friend.
Top Dawg,"Reviewed in the United States on May 23, 2017",4.0 out of 5 stars,"Good and short too. Starts in a neutral way but turns against Trump as a potential tyrant part way through. Some lessons seem a bit fabricated, but others are spot on. Good refresher on lessons learned from the WWII era. I'm sharing my copy with a friend.

If you like Tyranny, you might look at ""Happy America"" - it's an inexpensive Amazon ebook. If Tyranny tells you how to oppose tyrants, Happy America shows you how they can take over a nation piece by piece. The books fit together like bread and butter. The title is ironic and the short book (like Tyranny) is downright scary.

Go a step further and get ""The Fourth Turning."" It covers history as a 4 phase cycle that repeats itself every 80 to 90 years. This book is Steve Bannon's bible. If you read it, you will see why. It's a bit convoluted, but the points get across. Written in the mid 90s, you have to extrapolate the last phase to current times, but this imminent Fourth Turning is ripe for a tyrant to arrive. (For the short take, look it up on Wikipedia. )

In any event, all three of these together give you an uncommon perspective on today's society and politics. All on Amazon."
