User Name,Review Date,Rating,Review Body
Kate R.,"Reviewed in the United States on March 1, 2025",1.0 out of 5 stars,"The Kindle version is screwed up. Pictures attached. Seems to be associated with a different author, maybe a translation from another language gone wrong? Also there appears to be a difficulty with words starting with ""fi"" and some other words as well. Won't be trying Amazon again for this book. I'll happily go to Barnes and Noble."
Amazon Customer,"Reviewed in the United States on January 22, 2025",3.0 out of 5 stars,Is anyone else having an issue on the Kindle version with it cutting off the first parts of certain words? I'm having a hard time following because half my words are half missing? I'd like to review the content itself but this issue is making it hard to even follow the story itself.
Brittney Kudalis,"Reviewed in the United States on January 17, 2025",5.0 out of 5 stars,I’d really love it if we could buy it through our Kindles. :-( It’s sooo much easier for me to read at night when the lights are out around the house. I’ll keep checking to see if it becomes available. I can’t wait to read it.
