User Name,Review Date,Rating,Review Body
CP.,"Reviewed in the United States on February 17, 2025",3.0 out of 5 stars,"The main topic of the book - increase in screen time and social media leads to anxiety and other mental health issues for kids - is something society recognizes and agrees on (for the most part). The statistics are interesting and alarming. Overall it is an intro book perhaps for the general population? As an educator it felt a little oversimplified, repetitive, and not exactly full of new epiphanies for me personally. It is not a bad book by any means, I just didn't feel I learned a ton of new information from it, which is what I had hoped for."
Mariam,"Reviewed in the United States on February 15, 2025",3.0 out of 5 stars,"I bought this book hoping to find answers. There were 3 pages on what parents should do for teenagers which I already knew (e.g. ""get a job""). I was hoping for more suggestions than the obvious. The rest of the 300 pages were data to show there's a problem and help explain why and implications.

Great to know I'm not alone, but I ended up skipping all but a couple of chapters. I know there's a problem with screens, games and social media. It's pretty obvious why this is all additive and how it's screwing up our kids. Kids get to a certain age, and it becomes a lot harder to be strict. All parents would need to throw their kid's devices away and major tech companies would need to think of what's best for humanity vs profits... that will never happen.

3 stars is for the research, but I didn't find the book helped me at all."
Nandini,"Reviewed in the United States on February 3, 2025",3.0 out of 5 stars,"Lot of number. Unnecessarily lengthy, author has given his own opinions in many places. Too many studies confirming to what he wants to say. Overall content is good, but all that can be said in less than 30 pages instead of 300."
Richard Nevarez Jr.,"Reviewed in the United States on January 13, 2025",3.0 out of 5 stars,Book came damaged.
Amazon Customer,"Reviewed in the United States on December 22, 2024",3.0 out of 5 stars,"This book sparked my interest in reading the discussions around whether the use of social media has an impact of greater incidences of mental illness. It is worth reading this book, as well as critical reviews of it.

I was interested to read about the authors’ views on how girls and boys use the Internet differently.

I appreciated the author’s overall point that parents are overprotective in the real physical world but under protective in the virtual world, especially social media.

As a millennial parent these are immortal issues I need to consider and it was helpful to learn about the concrete suggestions the author proposed, including when to allow children of different ages access to the Internet, phones, opening of accounts on social media platforms, use of tracking devices by parents of their children etc. Of course, there is no one size fits all and it is important to reflect on these issues in your child’s specific circumstances.

This book appears mainly to be based on US and some European data."
Gearharts,"Reviewed in the United States on December 14, 2024",3.0 out of 5 stars,"As the parent of an 11 year old, I’m very concerned with this topic. The author has done a lot of research and I agree with his points. It does read like a textbook and is a bit slow going and repetitive, but so important."
Annie,"Reviewed in the United States on December 10, 2024",3.0 out of 5 stars,"Overall this was really good (and really sad, honestly) information about the world we live in. I think it is really critical that people know this information and act upon it. As far as his writing, he compares humans to animals A LOT which was a little annoying and talked a lot about evolution (which is his own belief and that is fine, but when applying to the masses I think he could have left all of that out and still made just as compelling of an argument). The overall message is crucial to read. I think a follow up book if you haven't already read it is Digital Minimalism to really affect change in your own personal life with screens. Another thing that bugged me was that he talked a lot about independence in children and I would love to know more about that especially as a parent of a girl because I want that for my child, but there are still evil people in the world."
Mel E. Albin,"Reviewed in the United States on December 10, 2024",3.0 out of 5 stars,"Haidt has written another pop psychology polemic. There is little in the way of causation vs correlation to explain the increase in anomie, identity crisis and overall distress among GenZ. There are some useful insights that are not prioritized such as the decline in the concept of children's play which almost universally included fantasy role playing, identifying with historic figures like cowboys, conquering aliens, comic book superheroes,GI Joe, nurses, etc. The emotional connection between playful fantasy and social interaction during childhood and early adolescence binding children together in face-to-face shared identities, is being lost. Boys playing sports in their neighborhood after school taught valuable lessons about competition and cooperation. This is emblematic in the Peanut's cartoon where Charlie Brown is playing baseball and is thinking of stealing home (competitive) but thinks that if he is tagged out he'll be the goat (cooperative) and in his dilemma leading off third base he is tagged out.
Childhood play involves fantasy and imagination. Today's computer games present graphic images and rely far more on eye-hand and muscle coordination than fantasy and imagination--the images are all too graphic. Computer games are played primarily in social isolation against cyber players. This is a serious fragmentation between fantasy, role playing, emotional intelligence and a sense of self.  

There were efforts to examine children's play post World War II beginning in the 1950s. This led to an examination of the relationship of death to childhood and the emergence of sexuality. Where death was once ever present in a child's environment and sexuality a fantasy it reversed with the role of hospitals for those aging and infirm and the absence of the familiar family home death scene where children were present. With the rise of hospitals, death was anesthetized and became fantasy for children and now sexual imagery became normative. By the 1990s graphicly illustrated computer games replaced both death and sexual fantasies where body dismembering and explosions and violence now became reality leaving nothing to the imagination; how violence  even sexuual violence is now an INDIVIDUAL not a collective construct. It is a reality not shared by immediate friends but abstract ""friends"" on the web. Even mom's role organizing children's play is transformed: giving this role to machine organized virtual play dates. The cycle is complete and children are now fully disconnected from face-to-face interactions to isolation and the vicissitudes of social media fragmentation. The longed for global community made possible by global technology nnow replaces how  by major events such as the civil rights movement, the threat of the nuclear arms race and the antiwar movement all of which required face-to-face social interaction and community has now given way to cell phone revolutions like Arab Spring, that quickly fell apart because it lacked face-to-face social cohesiveness.

I am rambling, but my point is that we never had guardrails when it came to the internet as we did before where the limitations of a global community were more difficult to achieve. In the process of creating the world wide web within a decade, there was little time to understand and limit its control over every facet of childhood development. Finally, we are also bearing witness to the impact of the dual worker household and the rise of latch key kids--further childhood and adolescence  fragmentation.

There is so much more that Haight never gets too that makes his analysis both empty and at the same time a number one best seller. This tells you all you need to know about the diminution of critical thinking and its relacement with unsupported opinions as public ""fact"" all over the internet. The concept of ""fake news"" is part of this  important, dramatic shift from trusted long term relationships with media to fragments in cyberspace where everything is both real and imaginary 24/7--the conundrum is at any given moment, which one is it?"
Amateur Listener,"Reviewed in the United States on December 3, 2024",3.0 out of 5 stars,"The author persuasively presents the problems facing our youth and his proposed solutions. I reduced my rating to three stars because (1) the book is repetitive and should be much shorter, and (2) I need a very bright light to read the small print."
Danfireman384,"Reviewed in the United States on November 13, 2024",3.0 out of 5 stars,"If you need a book of excuses to make you feel like an invested, responsible parent … this book is for you. Nobody but parents are to blame for kids growing up with technology in their face every waking moment and internet exposure. Don’t blame society, schools, or internet. You control your child’s exposures and shape their minds and hearts with God and love."
