User Name,Review Date,Rating,Review Body
Meg (what.is.life.without.dragons),"Reviewed in the United States on February 9, 2025",3.0 out of 5 stars,"This book is a memoir written by the oldest daughter in the “8 passenger” YouTube series that shows the everyday lives of a traditional LDS family. In 2023, the mother of this YouTube channel - Ruby Franke and coworker/friend - Jodi Hilderandt made national headlines by being arrested for several accounts of child abuse. This much loved mother- friendship duo, that built their entire brand on being good parents, shocked the world with this news.

I should start off by saying - I never go on YouTube so I personally had never heard of “8 passenger” tube series or of Shari Franke until this book. But I did graduate in civil engineering back in the day and had professor Kevin Franke for a few soil engineering classes. So when his wife- Ruby and her girlfriend- Jodi got arrested I paid attention.

What I experienced as a female engineering student is vastly different in how he was portrayed in the book and it was a good reminder that memoirs are not doctrine but rather just one person’s experience. In her eyes - her father could do no wrong (except protect his 6 children from his abusive wife but we won’t mention that part). Shari describes her father as a “limp noddle” but in the four walls of his classroom he could be described as dictator Napoleon in both physical and mental terms. We thought he suffered from napoleon syndrome- when a short angry man express rage towards others die to his “shortcomings”. Every female was afraid of him, in a way a predator leers at their pray and most males thought him a d&ck. So the spineless noodle described by his daughter was not our experience in the classroom to say in the least.

Overall, this book is your standard memoir and is definitely worth the read. It’s a good reminder that social media can become dangerous- especially when children are exploited for monetary gains. But there were several factors keeping me from loving her book. Her very skewed perception of her own father and her very obvious hindsight at just the ripe age of 22 was a stark reminder that this author is just a kid still and has a lot of healing/growing still left to do. I understand she wanted to publish this book now - while it’s relevant but I can’t help but wonder how much better this book would be in 10 or 15 years when the author has gained more perspective, therapy, and wisdom. I think the way she would have written the book with that added perspective would improve the story’s presentation tenfold.

Again - these are just my personal feelings and I want to make it clear the my 3.5 star rating is not a reflection on her own personal trauma or how she handled it, but simply on the presentation of her book, word choice and writing style only.

I think shari is a hero and an example to us all. I have a deep and profound respect for what not only she and her siblings endured but how she decided to not become a victim to her own story. I don’t think I would have turned out as well as her. I’m impressed by her courage and how - despite how horrible life was - she never blamed her God and kept her faith (I would have cursed God). She broke away from the trauma - and that is hard to do.

I look forward to seeing her growth and what new insights she will share with the world - when she’s ready."
Elizabeth Frost,"Reviewed in the United States on January 27, 2025",3.0 out of 5 stars,The book wasn't as good as I anticipated.
Violet,"Reviewed in the United States on January 24, 2025",3.0 out of 5 stars,"If you are an adult avid book reader, this one is not for you. It reads like a story a high school teenager wrote. I am only 2/3 of the way through the book, but so far it vaguely goes over the deep things that every reader/listener is actually hoping for. The book reminds me of the movie version of it ends with us. It vaguely goes over/insinuates about what was actually going on in their house. For example, when Chad mentions in the YouTube video that he sleeps on a beanbag chair, I thought that more of the story of what happened and the consequences that Ruby/potentially chat faced would be in the story but she only spent like 1-2 pages on the BIG moment the internet started noticing the abuse."
Amazon Customer,"Reviewed in the United States on January 22, 2025",3.0 out of 5 stars,Is anyone else having an issue on the Kindle version with it cutting off the first parts of certain words? I'm having a hard time following because half my words are half missing? I'd like to review the content itself but this issue is making it hard to even follow the story itself.
spinnylamptree,"Reviewed in the United States on January 13, 2025",3.0 out of 5 stars,"I liked the book overall, but because it covers such a huge time span (literally her entire life), we are left with mere glimpses at how Shari felt at various, spread out points in her life. The conclusion many would take away from these glimpses is that Shari had an absolutely terrible childhood with very little happiness. Perhaps this is true, which is why she focused so intently on those moments. Maybe her childhood was a little bit of both (happy and hard), but she didn't want to take away any of the focus from the narrative that her mother was always a terrible person even before Jodi entered their lives. Who knows..."
Mike Worthington,"Reviewed in the United States on January 12, 2025",3.0 out of 5 stars,Boring
C C,"Reviewed in the United States on January 11, 2025",3.0 out of 5 stars,"Franke's book is worth a read if only because she deserves millions (in dollars and voices of support) for what she endured. If Shari's privacy should be exploited yet again, at least it's on her own terms. The book is a good compendium of actions and events, save for the most heinous of Ruby's actions towards her two youngest. That, as Shari rightfully concludes, is best left for her siblings if and when they choose to share.

Where I dock 2 stars is for the surface-based explanations of Shari's own relationships/actions with those around her. As an example, with her father: how exactly did she reconcile with him? Did she fully, as is inferred in the book when she stays at their house? She said she forgave him, but what did that specific convo look and sound like? The same could be said regarding the relationship with her brother--at one point he slammed the door on her and later, they're listening to Ruby's voice message with shared disbelief and incredulity. There is no real transition from point A to B. There were many lost opportunities to provide a richer picture/explanation of certain nuanced events: for example, her rationale behind starting her vlog when she disliked the scrutiny of her mom's. She states in the car ride to the court that she and her father were immersed in conversation about the upcoming hearing. What that convo was, we'll never know. Dialogue is also scant re: her relationship with Derek. By no means do I as a reader expect or want salacious details, but there's something lacking in being informed of their dynamic through the lens of therapy-talk and her afterthoughts about the relationship. It would have been better to read more of her first-hand accounts, dialogue, etc. It's clear that Shari underwent a lot of trauma. That trauma, however, inhibits what could be much, much better and more cohesive writing.

The fault I lay mostly at her credited writing collaborator Caroline Ryder, and to a lesser extent, her editor Natasha Simons. Both were responsible for eliciting events, details and experiences from a young, highly vulnerable woman and turning it into a publishable book. It's clear there were no-go zones and boundaries. I get that. But a consequence was that those limitations definitely made this book more stilted than if they had probed more or worked around them with greater sophistication than is evident. If such gaps could not have been filled in, then it would have perhaps been better to wait until Shari was older, had more distance, and the tools necessary to work through and articulate the events in her life. The book was a bit like staring at wallpaper, and being told about the surface underneath but not actually being shown. I can't blame Shari at all for wallpapering her trauma, but it does make it harder for a reader to be fully immersed in her story.

The absence of overall details highlights the uncomfortable dynamic that we, as readers, have with the main characters (the Frankes themselves). The irony isn't lost that I'm asking for more specifics of someone who in numerous passages stated she didn't want to owe the public anything by way of her life's events. And I have to think she's smart enough to understand her own conflict to get the truth out there via an expose while also wanting to move on privately and discreetly. I am perfectly fine with paying $15 for my last seat to the 8 Passengers saga via this book and moving on. She's not wrong about the uncomfortable capitalistic exploitation of her tragedy at a time when there could be no meaningful consent. It's my understanding that she wishes to move forward with privacy and autonomy--in that goal, I wish her all the best. May she get the healing, peace, and amazing family life that she deserves."
