User Name,Review Date,Rating,Review Body
Josanne,"Reviewed in the United States on March 8, 2025",4.0 out of 5 stars,Book came with black scuffs and the book jacket was torn. Nothing wrong with the actual book though.
ana,"Reviewed in the United States on February 8, 2025",4.0 out of 5 stars,I listened to this on audio and finished it in less than two days. My only complaint is she skips some pretty consequential things as if she were just trying to wrap the book up. Her father really abandoned her and her siblings and her eldest brother turned his back on her too...closing the door on her. We hear about this and in the next breath they are all moving in together like it's all good with no explanation of how they got to that point. I though I missed something but I saw others mentioned these two things. Maybe the docuseries will answer that.
LKB,"Reviewed in the United States on February 5, 2025",4.0 out of 5 stars,"The Franke family were You Tube famous for the Vlog ‘8 Passengers’ written by mom, Ruby. The vlog ran from 2015 to 2020. Ruby then partnered with Jodi Hilderbrandt to run a ‘parenting’ channel. Both were arrested in 2023 and sentenced to prison in 2024 for aggregated child abuse. This book is written by Shari, the Franke’s eldest daughter, and focuses on her journey and her point of view. She does not speak for her siblings.

Listening to this was hard, frustrating and sad all at the same time. Story is read by Shari Franke, who at times seemed detached and unemotional, monotone. But, after what this poor young women went thru this is totally understandable. I appreciated her candor, leaving nothing out. It was hard because of all the people (father, church bishops) who should have protected her, failed her numerous times by manipulating and grooming her. Frustrating because no one would listen to this child. I wanted to shake them. Sad because this didn’t have to happen. Shari is now a young women who has taken control of her life, healing and learning to build a happy life. This book is about surviving, overcoming and facing forward. I’m happy that Shari has found her voice and is healing. Trigger warning: mental health issues, child abuse."
jjunelle,"Reviewed in the United States on February 4, 2025",4.0 out of 5 stars,"This was a hard read, but you could tell Shari put her whole heart into telling her story and I think that deserves a lot of credit."
Gina Ferrell,"Reviewed in the United States on January 30, 2025",4.0 out of 5 stars,Good book but it doesn’t mention any kids other than Shari or Chad. So a bit disappointing in my opinion.
Sherunswithbooks,"Reviewed in the United States on January 24, 2025",4.0 out of 5 stars,"This was a deeply moving memoir that captures the emotional turmoil and resilience of a family facing significant challenges. I felt a profound connection with the characters, particularly with the oldest daughter, Shari. Her determination and strength resonated throughout the narrative, making her journey relatable and inspiring.

The emotional weight of the family's experiences is palpable, and I wanted to reach out to each child for what they endured. The fact that this is a true story adds another layer of poignancy, drawing me into a world that felt both heartbreaking and hopeful. Being able to read this in one sitting is a testament to how good it was."
Alexandra Olsen,"Reviewed in the United States on January 21, 2025",4.0 out of 5 stars,What a well written memoir! It was a honor to hear Shari’s story. It also did a great job critiquing exploitative family vlogging and true crime media.
Cortlynd Olsen,"Reviewed in the United States on January 20, 2025",4.0 out of 5 stars,"Devastating. 

Read this for a book club. It's not something I ever would have picked up on my own, because like Shari expresses, I find true crime media to be exploitative. I hope that writing this is healing for Shari and that she doesn't look back and regret it in the future--I worry because she's still so young and because this kind of exploitation is all she's ever known, that she feels compelled to lay all of this bare in a way she wouldn't otherwise. 

The book was well-written, though it could be a bit word-vomity at times, which I completely understand. I switched back and forth between the e-book and the audiobook, and have to say that I'm impressed with Shari's narration. She does an excellent job."
LDT,"Reviewed in the United States on January 18, 2025",4.0 out of 5 stars,I’m glad she wrote this book to further explain to those that got caught up in just the social and news media of this story. My heart goes out to her and her siblings as they attempt to grow past this trauma and learn to walk with the pain and sorrow but not let it define who you are and who become.
Ruth HB,"Reviewed in the United States on January 14, 2025",4.0 out of 5 stars,"Shari Frankie’s insight into the effects of parental abuse are remarkable, especially for such a young woman. Without a shred of self-pity, Shari describes the pain and hopelessness children feel when dealing with a narcissistic or perfectionist mother. I believe this book will help other survivors of parental abuse put words to their experience. And perhaps it will aid in healing from that abuse as well. Shari relates her steps to self-healing that are uplifting and hope filled."
Leisha Mareth,"Reviewed in the United States on January 13, 2025",4.0 out of 5 stars,"I understand why she put the book out so quickly, and honestly it’s deeper than I anticipated it would be. However, I think it could have been even deeper if more time and therapy and maturity occurred. Grateful for her vulnerability about the grooming and abuse she endured outside the home. It shows how vulnerable our kids are for attention and affection when they don’t get enough at home."
Jeremy,"Reviewed in the United States on January 12, 2025",4.0 out of 5 stars,The book is great but the book cover is kinda funky and likes to slip and slide and is kind of annoying so i took it off for a better experience and I weirdly have an almost perfect circle hole on page 45 kinda looks like a bookworm hole but if it only went through one page in the middle of the book. Weird but didn’t hinder the experience was just odd. The writing and story is great though. Would definitely recommend!
Katherine,"Reviewed in the United States on January 11, 2025",4.0 out of 5 stars,"Setting aside the horrors of 8 Passengers for a moment, this book was incredibly well written, immediately immersive, and led to quite a bit of self-examination. Shari’s willingness to share the gritty details of her intense therapy work was inspiring and motivating, a gentle nudge that tells us we can all — always — be better versions of ourselves with hard work and uncomfortable truths. Shari’s journey is a testament to the power of introspection, defiance in the face of injustice, and a reminder that no trauma is “too big” to heal from. Thank you for that, Shari, and for your courage to question authority and seek truth even (and especially) when faced with pushback.

As for the 8 Passengers story that was and is so vital to who Shari is — Shari has successfully taken back control of the narrative of her life. I particularly appreciate her protection of her siblings.

Her literary background and years of journaling are apparent in her prose, which still reflects so much of who Shari is — once a relatable teenager, often very witty, so deeply compassionate and empathetic, and most importantly, uncensored. This is Shari’s story, from start to finish, and it’s well worth the read."
Kindle Customer,"Reviewed in the United States on January 8, 2025",4.0 out of 5 stars,"I somewhat followed her family back in the day but ever since Shari spoke to Utah legislature about the bad things of vlogging I've become more aware of it. This opened my eyes and I unfollowed people who vlogged their kids. I don't think all parents do it to exploit but I don't want to support that kind of thing anymore. Leave kids alone! Thanks, Shari."
