User Name,Review Date,Rating,Review Body
D. Lee,"March 2, 2025",1.0,"I read this book several years ago, when it first came out and my son’s high school made it recommended reading for its students, something that I’m 100% sure would not happen today. It told the story (ostensibly a biography) of a kid from difficult circumstances in Appalachia who made it to Yale Law School. That’s before Vance decided to get involved in politics, after failing in venture capital. Looking at it today, he so inflates his resume that it makes me wonder weather anything in the book is factual. For example, he constantly talks about being a Marine in Iraq, as if he were dodging bullets in foxholes. In fact, he was refining his ability to spin stories to the press, working as an assistant in the Marine press office, far from the front lines. He briefly worked in “private equity” and formed his own private equity fund at one point, but the performance of his fund was dismal. He did benefit from it by being introduced to some billionaire investors who have used him to advance their own self-interests. It’s true that he was a Senator from Ohio, elected with the help of those same billionaires, but only for a few months before being selected to run for VP, whereupon he began worshipping the same man who he had spoken negatively repeatedly previously. He hardly graced the Senate floor, let alone learned anything from teh experience. He apparently did go to Yale; I have two Ivy League degrees and I can assure you that an Ivy League degree is far from endorsement of one’s intelligence or, even more so, integrity.

Rarely have we had a less qualified or experienced Vice President. Yet, the actuarial tables tell us that a 78-year old man of average health has about a 25% chance of dying within the next four years, so Vance has at least a 25% chance of being our next President.

Don’t waste your time or money on this book. Harry Potter is better fiction."
DontStealMyPen,"March 1, 2025",1.0,"The story of a man who, as he tells it, beat the odds and made something of himself. One star for the effort that it takes to write a book, and to some extent, the parts of it that were honest. It's the rest of the book that reeks of manipulative storytelling as a way to promote himself as a man of honor. Too bad the reality of the man contradicts the values that he claims to have learned from the people and the circumstances of his upbring. The dishonorable man he became—a glad-handing supplicant to power and fame—is now on display for the world to see."
Tanya Lynn,"March 1, 2025",1.0,"I don't need to read this because I have lived it. I grew up in Red Haw, OH. I used to joke that it was a cross between red neck and Hee Haw. I skipped 7th grade. I was still the valedictorian of my high school. I got a BS degree in Math Magna Cum Laude with 4 years of solid calculus, and everything that goes with math. I did law school at the GSU COL in Atlanta, one of the best Health Law Schools in the country. And I am counsel to a non-profit health insurer, able to buy a 3BR / 2.5 BA home and be comfortable. I am so embarassed that he claims Ohio as home. He is a global embarassment. Humanity is intended to increase the amount of love in the world overall, and he is increasing the hate and vitriol and conflict. He doesn't remember where he came from, but I do. This guy is garbage."
KNOLAN,"March 1, 2025",1.0,Story is full of lies! No surprise!
AmazonWomen,"February 26, 2025",1.0,He states that he judges people by their ethnicity within the first 3.5 minutes of the audiobook.
Mike Pfaff,"February 25, 2025",1.0,"If I could give it negative stars I would. Like Andy said,"" He ain't from here."""
mama A,"February 25, 2025",1.0,"JDV made many incredulous statements in this book, all for attention. Just as he continues to do today."
Jason E. Lee,"February 24, 2025",1.0,This book should be removed.
Laura D.,"February 22, 2025",1.0,"I did not enjoy this book, he paints such an ugly photo of making assumptions of all the people in Appalachia. Not worth your time."
Olivia Macedo Godden,"February 21, 2025",1.0,Just awful
anon,"February 21, 2025",1.0,Horrible horrible horrible
Bo Bipidty,"February 18, 2025",1.0,"His life growing up in the smoky mountains was not poverty stricken nor an excessively challenging background — your standard challenges we all face at some time. Nothing stands out. Just a weak self-serving whiner wanting us to come away with ""Oh my! How hard that must've been"". He had close family relationships & mentors. He had many advantages of a middle class upbringing, and despite his education, he holds onto a lot of ignorance and self pity acquired from his hillbilly days rather than the toughening up and Good common sense that he could’ve taken away from it. His Ivy League school years replaced what good common sense logic he had acquired and replaced it with a feeling that he was better than others and that if you can’t do what he did, you’re a failure & feeling sorry for himself when there was nothing to feel sorry for. Self-pity does not look good on you Mr. Vance. So many people face much more adversity in their life (e.g. Barack Obama — poor, mixed race, no father figure & looking black in a white dominated country,) and yet he came away from that experience, positive, hopeful with empathy and compassion, whereas Vance came away with arrogance and disdain. Unfortunately many Americans like him, don’t appreciate their fortunate circumstances like Clarence Thomas — a direct beneficiary of affirmative action, it seeks to deny it for others; both are boorish whiners, declaring that anyone that does not rise to their level is not worthy of any assistance, empathy or compassion. Vance was unable to confront hardships in the way his grandparents had, but very willing to blame any discontent or failures on anyone or anything else. There’s no stiff upper lip in that pretentious group. Disregarding any message or takeaways, the book is not even well written, as others have said—at most a 6th grade reading level. It’s also is clearly not written by anyone that did any research into the Appalachian region or the economics and political decisions that impacted it. If so, he would’ve clearly pointed a few fingers at the wealthiest of Americans who were benefactors of the irreparable damage done to the Appalachian region. But don’t look here for any in-depth analysis; only woe is me and I’m so great to have overcome. As a book, it’s a disappointment at best; an embarrassment at worst."
cwm,"February 18, 2025",1.0,Terrible book with misguided propaganda.
jake hummel,"February 17, 2025",1.0,"I, like Vance, had to overcome America's industrial decline and the systemic problems that come with it, and while I never rose as high as he, above my roots, i never also never broke my oath to its people. writing is mid btw"
happyfeet,"February 17, 2025",1.0,Whining tale of someone who grew up to dismiss the people he came from and their problems. Currently vice president and supporter of extreme right wing groups in Europe.
M S Watkins,"February 16, 2025",1.0,"I want my money back. The promotion for this book had us believe Vance knew about and had a deep understanding of the area. He does not. He’s just churned out old stereotypes. No real history, no solutions.
I have deep roots in eastern Kentucky, yet I would never pretend to be an expert.
I couldn’t even give the book away."
Bay Area book lover,"February 15, 2025",1.0,"Now that Vance is out VP, it’s clear that the earnest, balanced perspective he communicates in his memoir is nothing but pretense. This man is nothing but an opportunist and I’m sure Mamaw would be incredibly disappointed in this obsequious man who cares more about personal aggrandizement than our amazing country and our Constitution. Wish she were here to chew him out, as I believe she would."
Cdel08,"February 14, 2025",1.0,"Book was binded upside down.....I didn't take a picture but it was given as a gift and they thought I was kidding....I wasn't
Check the orientation of the cover compared to pages before you give away."
christy Johns,"February 13, 2025",1.0,Excellent read but the front and back cover were upside down on both books that were ordered. Returned them both and reordered.
M. Holman,"February 8, 2025",1.0,This book is written for anyone who is at a fairly low reading level. Accolades by his former boss and the conservative financial media imply that it's a powerful and moving literary achievement. Nothing could be further than the truth.
the captain,"February 2, 2025",1.0,He’s no Marshall Mathers that’s for sure.
wordwright,"January 29, 2025",1.0,A great disappointment after all the hype. There are better books to read about Appalachia.
Carrie Edwards,"January 29, 2025",1.0,Super boring... An hour and a half of my life I'll never get back.
Telina,"January 27, 2025",1.0,"I like J. D. Vance, I am glad he is our Vice President. With that said, I was very, very disappointed that he chose to use very foul, dirty language in writing this book. Maybe that is how his family talked, but do you have to use the same language in telling your story? The one star is for the language, NOT for his life story."
Natalie,"January 24, 2025",1.0,I did not like this book. The ‘preachy’ ending was particularly bad. Don’t waste your time and money.
Patricia Saiya,"January 24, 2025",1.0,This is a story of an author that really cant identify with anyone in society. He changes his name as often as he changes pillows on a couch.
shirley e sanders,"January 23, 2025",1.0,"This book was a dog. Wouldn't recommend it to any of my reading friends. A superb book on this subject is ""Demon Copperhead : by Barbara Kingsolver. It won a Pulitzer prize."
Ben,"January 23, 2025",1.0,Pretty uninspiring and boring read. Vance is not a well rounded author and this book is a display of that.
NAME_NOTdonna_RETURNED,"January 18, 2025",1.0,"Although I’m sure this is exactly how his life was…..the language in this book ,in my opinion, is very distasteful and disgusting to people who don’t talk like his family. Really disappointed. I will not be recommending any of my friends or family read it."
Kasey Driskell,"January 13, 2025",1.0,"A more appropriate title could have been “Am I Oppressed? : A White Man’s First Brush with Inequity”
Or “Whose Fault is it Anyway? - A Strawman Defence”

Vance offers the opinions of literal random children to support his perspective. How did this ever get past an editor?"
Kevin Carrington,"December 31, 2024",1.0,Awful read. Should have stuck with the footnotes online.
Ms. Cathy,"December 29, 2024",1.0,"As a person with real life experience with the people of Northern Appalachia, it read like someone trying too hard to sell the reader on his Appalachian roots. Middletown Ohio is not Appalachian nor does it identify as Appalachian. My experience with the people of Appalachia from Georgia through Southern Ohio is they are proud of their heritage, prefer to work rather be on the dole, and want to break the cycle of generational poverty. I found the prose irritating and just stopped reading way before the book hit best seller lists."
Abby,"December 22, 2024",1.0,Stupid! This isn’t about Appalachia this is about Ohio! Pretty fake.
a marie,"December 20, 2024",1.0,Terrible
Samantha Ivy,"December 12, 2024",1.0,I bought this recently and apparently the paper is good toilet paper replacement. Well done!
sandra hubbs,"December 6, 2024",1.0,I only got a few pages into the book and had to stop reading it. The book has VERY bad language in it. It is not suitable for reading!!!!
Jody Marlow,"December 2, 2024",1.0,Someone wrote in the book and left an appt reminder card in it
CARTER P DUNHAM,"November 26, 2024",1.0,Both front and back covers were creased badly…this was supposed to be a new copy.
AnnieB,"November 13, 2024",1.0,Couldn't get past the 2nd chapter...
Customer M,"November 11, 2024",1.0,"Vance's style can sucker in a reader, but what he actually offers—in terms of history, in terms of meaning, in terms of humanity—is vacuously cynical. His lens, when you scratch past the surface, isn't the tough love of family, and it isn't even hard-edged, worldweary pragmatism. It's self-advancing, self-aggrandizement, a sense that other folks just haven't played the game and danced the steps with his grit and skill. There's little recognition of the macro-social processes that contextualize what he writes about and little for a reader to really recognize and resonate with beyond the hot takes and superficial cleverness."
Amazon Customer,"November 11, 2024",1.0,"Ok, kind of boring. I would maybe buy and read another book"
Magpie Queen,"November 11, 2024",1.0,"It started out ok, then turned into a lot of victim shaming and blaming. I reccomend Demon Copperhead by Barabara Kingsolver instead."
Kelpie,"November 7, 2024",1.0,"I read this book several years ago. Having grown up in Western NC, with family who has been in Appalachia since the 1700s, I thought it poorly represented the people who I jnew as hard-working, independent, and resilient, not drug seeking and self destructing. There are much better books written about the people there, by people who actually lived there! JD Vance is NOT ""one of us."""
Amazon Customer,"November 6, 2024",1.0,Total BS.
Teresa,"October 18, 2024",1.0,A poorly written vanity project from a power hungry truth bender. Turns the people of a storied geographical area into one dimensional caricatures.
sharon baade,"October 16, 2024",1.0,"He is not a hillbilly, he was raised in Ohio. I would not be proud of who he has become."
Carla Evans Van Winkle,"October 14, 2024",1.0,"He never lived here. I live in Kentucky. He doesn't know what life is like here. Somebody needs to tell him drugs and alcoholism is everywhere. Where not like what he makes us out to be. Where family oriented, where educated, where not what he makes us out to be. He needs to know the university of Kentucky is here. I sorry that somebody writes a book about Kentucky that's never lived here . My husband is from the mountains of Kentucky. JD Vance doesn't know what life is like here."
Nancy G.,"October 12, 2024",1.0,Slow reading. Don’t waste your money. Just watch the movie.
Debra McCaleb,"October 11, 2024",1.0,"May have been a good book, could not get past the foul language."
San Rock,"October 11, 2024",1.0,"I dislike that I sent this book as a gift and it arrived very damaged. It was shipped in a plastic bag! That is why only one star.
I own the book and it is a five star."
Amanda Ross,"October 8, 2024",1.0,"Used to his this book for individuals in recovery, however, due to the author's current take on mental health services, this book is a contradiction to its original message."
Mark H,"October 8, 2024",1.0,Reads like it was written by a third grader.
Hopeful Reader,"October 6, 2024",1.0,"As someone with parents who literally came up with nothing, I found this book to be such a self-pitying lie. Vance HAD family members who provided for him and cared for him. He HAD a home and a community. it might not have been storybook perfect, and he is more than happy to trash his mother at every turn (but not his violent grandfather, go figure) but he was clearly not on his own.

My parents were on their own, and clawed themselves out of foster care and neglect to create a solid middle class family, were offended by this book. They felt he gave himself far too much credit and minimized the support he received. I agree."
jes,"September 26, 2024",1.0,Poor binding.
Linda bumpers,"September 21, 2024",1.0,First let me say I am going to vote for Trump. After I heard Vance’s speech I thought sure the book would be ok. I am a Christian and that kind of language is not in my world. I am NOT judging him but I am warning other people. Every other word in this book is HORRENDOUS!
KHarrison,"September 16, 2024",1.0,"I feel this book was poorly written and overly exaggerated. Author portraits himself to be a poor Appalachian, he may have had relatives that were and that faced hardships. The positive I came away with was this Book should have been read and scrutinized while getting Mr. Vance. GOP supporter."
Barbara C,"September 13, 2024",1.0,"The introduction was interesting but as J.D. Vance mentioned, the existence of the book somewhat absurd, yes, MORE than somewhat. I didn't finish the book. I found it repetitious and boring, so closed it after the first three chapters. That was enough!"
