User Name,Review Date,Rating,Review Body,Cleaned Review,Positivity Score
Kayla Branstetter,"Reviewed in the United States on January 15, 2025",1.0 out of 5 stars,"I wanted to like this book, but Melania doesn’t accept any accountability for anything. The entire book was surface level and poorly written.",i wanted to like this book but melania doesn t accept any accountability for anything the entire book was surface level and poorly written,0.38464999999999994
Richard C Sherman,"Reviewed in the United States on January 13, 2025",1.0 out of 5 stars,"I bought this book as a gift for Christmas. The recipient just finished the first half of the book and then the second half is just a mishmash of pages. The last page in the book is the first page of Chapter 2. And now because it was bought when it first came out, it states it is unreturnable. I can't be the only one with this problem.",i bought this book as a gift for christmas the recipient just finished the first half of the book and then the second half is just a mishmash of pages the last page in the book is the first page of chapter 2 and now because it was bought when it first came out it states it is unreturnable i can t be the only one with this problem,0.2813
Paul Aussendorf,"Reviewed in the United States on January 12, 2025",1.0 out of 5 stars,Poorly written. Better titled Jeff Bezos’ payoff to Trump.,poorly written better titled jeff bezos payoff to trump,0.35605999999999993
Tom Schaefer,"Reviewed in the United States on January 11, 2025",1.0 out of 5 stars,"Boring and shallow. I had had higher expectations for this book. I am utterly disappointed, and upset that I wasted money on this.",boring and shallow i had had higher expectations for this book i am utterly disappointed and upset that i wasted money on this,0.155795
James Jenkins,"Reviewed in the United States on January 9, 2025",1.0 out of 5 stars,This book really is nothing special. You’d be better off looking through a book with blank pages.,this book really is nothing special you d be better off looking through a book with blank pages,0.30457999999999996
MemePNC,"Reviewed in the United States on January 8, 2025",1.0 out of 5 stars,"Melania didn't write this, though I can't imagine how much worse it would have been if she had! Don't waste your time.",melania didn t write this though i can t imagine how much worse it would have been if she had don t waste your time,0.18355999999999997
Maria Falcon,"Reviewed in the United States on January 7, 2025",1.0 out of 5 stars,Book replacement was once again with what appears to be greasy finger prints and scratches. This replacement book and the first that I returned were just placed inside a paper bag without protective wrapping around any of the books.,book replacement was once again with what appears to be greasy finger prints and scratches this replacement book and the first that i returned were just placed inside a paper bag without protective wrapping around any of the books,0.29
Tamila Savitskaya,"Reviewed in the United States on January 6, 2025",1.0 out of 5 stars,Absence of minimal education makes this book most boring and flat.,absence of minimal education makes this book most boring and flat,0.23293999999999998
Scotch,"Reviewed in the United States on January 6, 2025",1.0 out of 5 stars,A waste of time,a waste of time,0.226775
MJ,"Reviewed in the United States on January 5, 2025",1.0 out of 5 stars,Ridiculous garbage.,ridiculous garbage,0.23581999999999997
AArkieam,"Reviewed in the United States on January 5, 2025",1.0 out of 5 stars,This book sheds light on what she wants you to believe her life is and was the light side of the story. Where are were he truth tellers I wanna here the true story and leave nothing out. Another celebrity writing a nothing burger.,this book sheds light on what she wants you to believe her life is and was the light side of the story where are were he truth tellers i wanna here the true story and leave nothing out another celebrity writing a nothing burger,0.37990999999999997
Southern Cook,"Reviewed in the United States on January 5, 2025",1.0 out of 5 stars,Not what I expected…..I love Melanie but just couldn’t finish book. Her life is boring compared to mine and I’m a nobody! 😁,not what i expected i love melanie but just couldn t finish book her life is boring compared to mine and i m a nobody,0.19565
The Lady of the House,"Reviewed in the United States on January 3, 2025",1.0 out of 5 stars,I was extremely disappointed by this book. It is not written by Melania. I did not learn anything new about her by reading this book. It contain information that has been widely dispersed by the media for years. It was a waste of money.,i was extremely disappointed by this book it is not written by melania i did not learn anything new about her by reading this book it contain information that has been widely dispersed by the media for years it was a waste of money,0.17980999999999997
Sharon Comba,"Reviewed in the United States on December 29, 2024",1.0 out of 5 stars,"I’m a Trump supporting Republican, but wow this was not worth my time. I actually skipped parts to get through it. Enjoyed pictures more than anything",i m a trump supporting republican but wow this was not worth my time i actually skipped parts to get through it enjoyed pictures more than anything,0.42364999999999997
Regina C. Allen,"Reviewed in the United States on December 29, 2024",1.0 out of 5 stars,Use this for toilet paper.,use this for toilet paper,0.29
J. Hurd,"Reviewed in the United States on December 26, 2024",1.0 out of 5 stars,"Clearly ghost written, but with no more interesting content than you'd expect from the ""I really don't care, do you"" ex-stripper who destroyed the Rose Garden and hates Christmas. If I could give it -5 stars, I would.",clearly ghost written but with no more interesting content than you d expect from the i really don t care do you ex stripper who destroyed the rose garden and hates christmas if i could give it 5 stars i would,0.251
Amazon Customer,"Reviewed in the United States on December 24, 2024",1.0 out of 5 stars,"I've read many books from First Lady's, and kept them all. This one is not worth saving.",i ve read many books from first lady s and kept them all this one is not worth saving,0.264575
Bella,"Reviewed in the United States on December 23, 2024",1.0 out of 5 stars,"I have very little positive to say about this book. I like Melania and have talked to someone who knows her personally who says she is one of the kindest, most caring persons he knows. I wanted to love the book but I could barely get through it and skimmed a lot of it. I think the reading of it would make people like her less so if she meant to promote herself, this is a huge fail!

The writing is terrible. I realize she is not a writer and maybe there is a barrier in culture and nuance of language, but the constant ""I did this, I did that, I'm compassionate, I'm loving......"" was a bit eye rolling. She needed a good editor or a ghost writer.

It was very repetitive and read more like a journal in areas...not even chronological. At times I had to go back because I thought I had dozed off when a new paragraph in the same chapter started on a completely unrelated subject...very strange. Even some of the photos were odd choices.... I got the feeling she couldn't make a decision on photos so just threw them all in, even if unflattering.

The black matte cover jacket is awful and gets oil spots on it from just holding the book making it look horrible in minutes. I didn't have any problem with the binding like others have said in reviews but the book was indeed expensive and not worth the price. I feel as if she had some kind of publication deadline and didn't give enough time to do this job well or even that someone sabotaged her into thinking it was great!

In contrast I read Free, Melania : the Unauthorized Biography by Kate Bennet in late 2019. I would never have picked that book up but it was given to me by my son who didn't realize it was supposed to be negative. I gave that book 2 stars, so it also was not great but even though it was supposed to be a ""hit job"", Kate described Melania quite well. I remember thinking Melania must be a pretty good person because the only bad things Kate could come up with revolved around Melania's shopping habits. I also learned a lot about life in the White House as Kate Bennet was the only journalist in the White House press corps to cover solely Melania Trump.

After reading Melania, the only interesting item I've come away with is this.

She shared the tradition of the outgoing president allowing the incoming president to check out the White House and plan for their move and renovation of rooms etc (expecially with a 10 year old boy moving in). This time is usually over the Christmas holidays when the sitting president's family is out of the White House in some other location. She wrote that the Trump staff sent a request but did not receive a response for weeks making it very difficult to organize the visit with the people needed. That was part of the reason she finished off the school year with Baron in NYC.
She mentioned Baron was 10 and the children's rooms were feminine since there had not been a boy child in the White House since Kennedy. She wanted to make the transition as easy as possible for him. Incidentally, as I was reading this part, I then heard a brief news item that the Trumps were invited to the White House this Christmas Season.",i have very little positive to say about this book i like melania and have talked to someone who knows her personally who says she is one of the kindest most caring persons he knows i wanted to love the book but i could barely get through it and skimmed a lot of it i think the reading of it would make people like her less so if she meant to promote herself this is a huge fail the writing is terrible i realize she is not a writer and maybe there is a barrier in culture and nuance of language but the constant i did this i did that i m compassionate i m loving was a bit eye rolling she needed a good editor or a ghost writer it was very repetitive and read more like a journal in areas not even chronological at times i had to go back because i thought i had dozed off when a new paragraph in the same chapter started on a completely unrelated subject very strange even some of the photos were odd choices i got the feeling she couldn t make a decision on photos so just threw them all in even if unflattering the black matte cover jacket is awful and gets oil spots on it from just holding the book making it look horrible in minutes i didn t have any problem with the binding like others have said in reviews but the book was indeed expensive and not worth the price i feel as if she had some kind of publication deadline and didn t give enough time to do this job well or even that someone sabotaged her into thinking it was great in contrast i read free melania the unauthorized biography by kate bennet in late 2019 i would never have picked that book up but it was given to me by my son who didn t realize it was supposed to be negative i gave that book 2 stars so it also was not great but even though it was supposed to be a hit job kate described melania quite well i remember thinking melania must be a pretty good person because the only bad things kate could come up with revolved around melania s shopping habits i also learned a lot about life in the white house as kate bennet was the only journalist in the white house press corps to cover solely melania trump after reading melania the only interesting item i ve come away with is this she shared the tradition of the outgoing president allowing the incoming president to check out the white house and plan for their move and renovation of rooms etc expecially with a 10 year old boy moving in this time is usually over the christmas holidays when the sitting president s family is out of the white house in some other location she wrote that the trump staff sent a request but did not receive a response for weeks making it very difficult to organize the visit with the people needed that was part of the reason she finished off the school year with baron in nyc she mentioned baron was 10 and the children s rooms were feminine since there had not been a boy child in the white house since kennedy she wanted to make the transition as easy as possible for him incidentally as i was reading this part i then heard a brief news item that the trumps were invited to the white house this christmas season,0.43826
Twig the Wonder Kid,"Reviewed in the United States on December 20, 2024",1.0 out of 5 stars,"What a waste of a human being. For four years, she had the ability to effortlessly and at no cost to herself, improve the lives of millions of people on a daily basis. She chose to abstain. She didn’t lift a finger to help anyone and continues her greedy selfish ways. How much money do these people need? They have no substance, no compassion. Why anyone would revere her is beyond my comprehension. This book is merely an extension of her vanity. She needs to get over herself.",what a waste of a human being for four years she had the ability to effortlessly and at no cost to herself improve the lives of millions of people on a daily basis she chose to abstain she didn t lift a finger to help anyone and continues her greedy selfish ways how much money do these people need they have no substance no compassion why anyone would revere her is beyond my comprehension this book is merely an extension of her vanity she needs to get over herself,0.202115
Eliz,"Reviewed in the United States on December 20, 2024",1.0 out of 5 stars,"Nothing more to say, a book written by a trophy wife doesn’t deserve more than a star.",nothing more to say a book written by a trophy wife doesn t deserve more than a star,0.29
M. Moody,"Reviewed in the United States on December 20, 2024",1.0 out of 5 stars,"I picked up this book out of curiosity and only became more and more disappointed. We all have areas of our lives that are less than accurate or truthful, but most of us don't publish them. Not worth the read.",i picked up this book out of curiosity and only became more and more disappointed we all have areas of our lives that are less than accurate or truthful but most of us don t publish them not worth the read,0.24136999999999997
K H,"Reviewed in the United States on December 19, 2024",1.0 out of 5 stars,Reads like a cover letter. Not even written in order and all over the place. I regret reading this book.,reads like a cover letter not even written in order and all over the place i regret reading this book,0.27842
Nicoletta,"Reviewed in the United States on December 19, 2024",1.0 out of 5 stars,It is a show of true love (of money),it is a show of true love of money,0.40859
SAM S,"Reviewed in the United States on December 19, 2024",1.0 out of 5 stars,"Self serving tripe. As she so proudly displayed on her coat ""I don't really care, do u?"" would have been an apt subtitle.",self serving tripe as she so proudly displayed on her coat i don t really care do u would have been an apt subtitle,0.41669
matthew,"Reviewed in the United States on December 17, 2024",1.0 out of 5 stars,I ran out of toilet paper. Luckily someone gave me this book.,i ran out of toilet paper luckily someone gave me this book,0.36658999999999997
Sharon,"Reviewed in the United States on December 17, 2024",1.0 out of 5 stars,"I’ve read a lot of books since I retired and this one takes the cake as the worst. You might as well be in a cult and repeat, “I am Melania. I am wonderful” after each paragraph. It’s slanted to her side, she shows no accountability for anything and she’s wonderful and most others aren’t. Poor baby. She’s picked on. Worst book that. Try Arnold’s book—way better.",i ve read a lot of books since i retired and this one takes the cake as the worst you might as well be in a cult and repeat i am melania i am wonderful after each paragraph it s slanted to her side she shows no accountability for anything and she s wonderful and most others aren t poor baby she s picked on worst book that try arnold s book way better,0.24018499999999998
Rose,"Reviewed in the United States on December 14, 2024",1.0 out of 5 stars,There is no way these are her true feelings & no way she wrote this. This should be categorized under FICTION.,there is no way these are her true feelings no way she wrote this this should be categorized under fiction,0.26703499999999997
patricia,"Reviewed in the United States on December 10, 2024",1.0 out of 5 stars,"Photos poor quality, self promoting and no mention of proceeds going to a charity. Melania doesn’t need the money.",photos poor quality self promoting and no mention of proceeds going to a charity melania doesn t need the money,0.29
Nancy B,"Reviewed in the United States on December 9, 2024",1.0 out of 5 stars,Not worth the paper it’s printed on! It was so obvious it was written to try to shed a more positive light on her husband right before the election.,not worth the paper it s printed on it was so obvious it was written to try to shed a more positive light on her husband right before the election,0.36477499999999996
Tbarr1013,"Reviewed in the United States on December 9, 2024",1.0 out of 5 stars,I heard Donald was going to write the introduction but he couldn't figure out how to open the book,i heard donald was going to write the introduction but he couldn t figure out how to open the book,0.29
Packaging a little damaged in the mail but the item itself is perfect.,"Reviewed in the United States on December 5, 2024",1.0 out of 5 stars,"Chapters 16-18 are missing. In their place is a duplicate reprint of chapters 12-14.
Need a new book! Have contacted publisher. Waiting to hear back…..",chapters 16 18 are missing in their place is a duplicate reprint of chapters 12 14 need a new book have contacted publisher waiting to hear back,0.24559999999999998
LK,"Reviewed in the United States on November 30, 2024",1.0 out of 5 stars,I did not enjoy this this book at all. She comes across as very conceited and brags about herself through out the book. I gave the book away without finishing it b cause it was so bad.,i did not enjoy this this book at all she comes across as very conceited and brags about herself through out the book i gave the book away without finishing it b cause it was so bad,0.170375
Bill B.,"Reviewed in the United States on November 30, 2024",1.0 out of 5 stars,Don't read. Terrible. 0 stars.,don t read terrible 0 stars,0.218495
Jeanine Stabnow,"Reviewed in the United States on November 25, 2024",1.0 out of 5 stars,Melania's book has been nice to read but the pictures in the center of the book are literally falling out of the binding. The binding has not held up at all. The date it too late for me to send back since I did not get it read right away. A big waste of my money,melania s book has been nice to read but the pictures in the center of the book are literally falling out of the binding the binding has not held up at all the date it too late for me to send back since i did not get it read right away a big waste of my money,0.20421499999999998
Vanity Nutrition,"Reviewed in the United States on November 25, 2024",1.0 out of 5 stars,"The story of a poor, yet pretty, farm girl who grew up in a communist country. She worked what she had to get what she wanted, and she wanted money.",the story of a poor yet pretty farm girl who grew up in a communist country she worked what she had to get what she wanted and she wanted money,0.29386999999999996
No Sleep 'til Brooklyn,"Reviewed in the United States on November 24, 2024",1.0 out of 5 stars,"Immigration Background- There’s irony noted in her immigration journey juxtaposed with her husband’s hardline immigration policies.

“Be Best” Campaign- While her anti-bullying initiative was well-intentioned, how ironic given Donald Trump’s combative style.

Lack of Transparency- She people feel she is overly private, making her actions and priorities as First Lady unclear or difficult to assess.",immigration background there s irony noted in her immigration journey juxtaposed with her husband s hardline immigration policies be best campaign while her anti bullying initiative was well intentioned how ironic given donald trump s combative style lack of transparency she people feel she is overly private making her actions and priorities as first lady unclear or difficult to assess,0.17740999999999998
Amazon Customer,"Reviewed in the United States on November 23, 2024",1.0 out of 5 stars,A self promoting book lacking in introspection or a sense of history. Waste of time,a self promoting book lacking in introspection or a sense of history waste of time,0.27842
Amazon Customer,"Reviewed in the United States on November 22, 2024",1.0 out of 5 stars,This book is one of the best coaster or place mat I've ever seen.,this book is one of the best coaster or place mat i ve ever seen,0.38553499999999996
DOUGLAS D. WILKERSON,"Reviewed in the United States on November 20, 2024",1.0 out of 5 stars,"Melania by Melania Trump is a masterclass in vacuity, a memoir that promises insight into the life of one of the most enigmatic and scrutinized figures of modern politics but delivers little more than an exercise in self-promotion. The book is a glossy, surface-level account that skirts the most meaningful questions about her life, reducing the complex reality of her experiences to a series of clichés and vague, lifeless platitudes.

Rather than offering genuine introspection or revealing new perspectives, Melania's narrative is predictably distant and calculated, mirroring the aloofness that has defined her public persona. There is little substance in her reflections, only a repetitive parade of tired tropes about beauty, family, and a vague sense of American patriotism, all packaged in a way that feels more like a branding effort than an authentic memoir.

The writing itself is excruciatingly shallow. Melania, as a writer, displays a complete lack of depth, offering up sparse, almost mechanical descriptions of events and emotions. It’s clear that this book was written not for personal expression, but as a carefully curated product designed to sell a particular image—an image that remains deliberately impenetrable. Her reluctance to delve into any meaningful aspects of her personal life or thoughts on her controversial marriage to Donald Trump only adds to the sense that this book is nothing more than an exercise in vanity and image management.

In terms of narrative, the book meanders with no clear sense of direction, lacking both a cohesive structure and a compelling arc. Her experiences as First Lady are brushed over with little insight into the complexities of her role. There is no substantial reflection on the controversies surrounding her husband's presidency or her own public persona. Instead, readers are left with a sanitized, glorified version of Melania's life, where her true thoughts remain carefully guarded.

Melania by Melania Trump isn’t a memoir—it's a missed opportunity, a hollow text that fails to humanize its subject or offer any real connection. It’s a book that feels entirely detached from any real human experience, leaving behind only the stark reminder of how artfully crafted public images can be, and how little substance often lies beneath.",melania by melania trump is a masterclass in vacuity a memoir that promises insight into the life of one of the most enigmatic and scrutinized figures of modern politics but delivers little more than an exercise in self promotion the book is a glossy surface level account that skirts the most meaningful questions about her life reducing the complex reality of her experiences to a series of clichés and vague lifeless platitudes rather than offering genuine introspection or revealing new perspectives melania s narrative is predictably distant and calculated mirroring the aloofness that has defined her public persona there is little substance in her reflections only a repetitive parade of tired tropes about beauty family and a vague sense of american patriotism all packaged in a way that feels more like a branding effort than an authentic memoir the writing itself is excruciatingly shallow melania as a writer displays a complete lack of depth offering up sparse almost mechanical descriptions of events and emotions it s clear that this book was written not for personal expression but as a carefully curated product designed to sell a particular image an image that remains deliberately impenetrable her reluctance to delve into any meaningful aspects of her personal life or thoughts on her controversial marriage to donald trump only adds to the sense that this book is nothing more than an exercise in vanity and image management in terms of narrative the book meanders with no clear sense of direction lacking both a cohesive structure and a compelling arc her experiences as first lady are brushed over with little insight into the complexities of her role there is no substantial reflection on the controversies surrounding her husband s presidency or her own public persona instead readers are left with a sanitized glorified version of melania s life where her true thoughts remain carefully guarded melania by melania trump isn t a memoir it s a missed opportunity a hollow text that fails to humanize its subject or offer any real connection it s a book that feels entirely detached from any real human experience leaving behind only the stark reminder of how artfully crafted public images can be and how little substance often lies beneath,0.36083
iliketacos,"Reviewed in the United States on November 20, 2024",1.0 out of 5 stars,Boring and self arrogant. Not very well written.,boring and self arrogant not very well written,0.17598499999999997
Daniel Frye,"Reviewed in the United States on November 19, 2024",1.0 out of 5 stars,"This review has nothing to do with the book itself but rather the fact that the seller attached a sticker to the dustcover that won't completely come off and ruined it. Why would anyone do that, especially to a brand new book?",this review has nothing to do with the book itself but rather the fact that the seller attached a sticker to the dustcover that won t completely come off and ruined it why would anyone do that especially to a brand new book,0.323945
Anthony G. Puzzilla,"Reviewed in the United States on November 19, 2024",1.0 out of 5 stars,I didn't learn anything from her book that I didn't already know. It was a waste of money.,i didn t learn anything from her book that i didn t already know it was a waste of money,0.226775
LH,"Reviewed in the United States on November 18, 2024",1.0 out of 5 stars,"Terrible book. Absolutely no way she wrote it. Reads like boring fiction. No substance. Many people are saying this too, not just me.",terrible book absolutely no way she wrote it reads like boring fiction no substance many people are saying this too not just me,0.172445
