User Name,Review Date,Rating,Review Body
Gord o' The Books,"Reviewed in the United States on January 26, 2025",5.0 out of 5 stars,"Review of The Body Keeps the Score by Bessel van der Kolk

I came to this book at precisely the right moment in my life, thanks to the recommendation of my naturopathic doctor, Taggy Bensaid. At the time, I was about six months into therapy for my own PTSD and just beginning to explore deeper healing approaches. This book became a guidepost, illuminating the intersections of trauma, healing, and the holistic therapies I was already embracing, like music, massage, and yoga.

One of the most powerful lessons I took from this book is the understanding that many behaviors—especially in children—aren’t willful defiance or laziness, but expressions of unprocessed trauma. It reinforced my belief that society, as a whole, has a responsibility to address the growing epidemic of trauma, not just by treating individuals but by creating environments that foster healing and growth.

This resonated deeply with me as both a teacher and a choir member. It explained why I’ve struggled with breathing properly in choir and gave me tools to approach teaching with more compassion—not as a disciplinarian, but as someone committed to understanding what’s happening in a child’s world before taking action.

On a personal level, this book affirmed my vision for strengthening connections within my extended family. Too often, I’ve encountered resistance in the form of phrases like, “People have to take care of their own families,” or “You can’t make people do what they don’t want to do.” This book helped me see those responses in a new light, rooted in their own unprocessed experiences, and gave me renewed determination to move beyond that negativity.

The Body Keeps the Score isn’t just a book—it’s a lifeline for anyone seeking to understand trauma and chart a path toward healing. It’s accessible, insightful, and profoundly validating, and I’m grateful to have encountered it at such a pivotal time in my life."
Amy Forehand,"Reviewed in the United States on January 24, 2025",5.0 out of 5 stars,Really helps you understand the science behind how our emotions affect our body.
Amazon Customer,"Reviewed in the United States on January 24, 2025",5.0 out of 5 stars,"If you or someone close to you has suffered from abuse, this book is a must read."
new jersey art lover,"Reviewed in the United States on January 21, 2025",5.0 out of 5 stars,helpful ideas
Nick B,"Reviewed in the United States on January 20, 2025",5.0 out of 5 stars,"This book perfectly described my childhood after a singular event of physical trauma that mentally scarred me for life and gave me insights and an understanding of a path to recovery that has already profoundly changed my life for the better. This book alone almost cured my social anxiety and showed me paths to further my recovery going forward. I cannot praise this book enough.

Even if you are not a victim of trauma it is still worth the read as it will help you better understand those who have and how to better interact with them."
Amazon Customer,"Reviewed in the United States on January 18, 2025",5.0 out of 5 stars,"Great book for anyone interested in how the brain responds to trauma, and processes to heal from it!"
Diana Ciuca,"Reviewed in the United States on January 17, 2025",3.0 out of 5 stars,"Depressing book. Even though I studied Neuroscience in college, most of the studies were surprising—but not in a good way. Too verbose for my liking."
Elaine Pitta,"Reviewed in the United States on January 15, 2025",5.0 out of 5 stars,Excellent read for anyone who has experienced trauma or a family member of a traumatized child or adult
Jenny Gyde,"Reviewed in the United States on January 14, 2025",3.0 out of 5 stars,"This reads like a textbook and was very hard to follow without having a few years of college under my belt first. I thought this was made for the regular Joe, but it discusses some pretty deep traumas and was hard to read. My main takeaway was I'm not cut out to be a therapist, but I was really looking for clarity in my own life."
Tatiana,"Reviewed in the United States on January 13, 2025",3.0 out of 5 stars,But I’m sure there is plenty of people who need this support.
Eric Mohler,"Reviewed in the United States on January 12, 2025",5.0 out of 5 stars,An incredible journey of a man who saw a pattern in vets and came to an epiphany. The Body Keeps the Score is now a well known phrase coined originally by Bessel Vander Kolk. Interesting read and profoundly relevant to folk looking for answers to trauma. Highly recommend.
Nickalett,"Reviewed in the United States on January 12, 2025",5.0 out of 5 stars,"Love all that was put into this book. I found it very helpful and gives more insight and awareness around autoimmune disease, and how traumatic events through your life affects your body. I recommend!"
Happy Shopper,"Reviewed in the United States on January 12, 2025",5.0 out of 5 stars,"Buy this book! It is not an easy read, but a must read! It is so liberating."
Rhegan Vanhoozer,"Reviewed in the United States on January 12, 2025",5.0 out of 5 stars,"I had this book for almost three years before I actually sat down and read it. My therapist recommended it to me after diagnosing me with PTSD, but I was not in the mood to gain knowledge or understanding at that point. A few years later while trying to learn to live with PTSD and understand my own brain so I could express to others what I needed, I finally picked up this book. I am so glad I did. If you or anyone you know struggles with PTSD, please read, it's amazing."
Bean,"Reviewed in the United States on January 11, 2025",5.0 out of 5 stars,"I read this and got the audible version to listen to (not on this platform)
It is so informative and so well written it helped me understand my own trauma and how I react.

I highly recommend this book for anyone wanting to understand trauma and its impact all around."
Esraa Ahmad,"Reviewed in the United States on January 11, 2025",4.0 out of 5 stars,"It’s very upsetting at times but ended on a good note, just gotta keep reading. Don’t be off put by the beginning."
Cathy aguon muna,"Reviewed in the United States on January 11, 2025",5.0 out of 5 stars,Great read
Alexandra Graham,"Reviewed in the United States on January 10, 2025",5.0 out of 5 stars,This book helped me a lot. I like to understand how things work and through all of the years of therapy I went through I never understood the “why” my brain was reacting the way that it was. This book explained the different processes that your brain goes through when reacting to traumas while also exploring different peoples experiences. I could see how it wouldn’t necessarily be helpful for everyone who’s experienced trauma but I think this book could be the missing piece for a lot of people.
Marie Bruner,"Reviewed in the United States on January 10, 2025",5.0 out of 5 stars,"I love all the knowledge I’ve learned from this book. It’s sturdy, came in tact from the mail. Thank you Amazon for another great read!"
Bethany,"Reviewed in the United States on January 10, 2025",5.0 out of 5 stars,Heal yourself thru this profound book as I have!
Carrie,"Reviewed in the United States on January 9, 2025",5.0 out of 5 stars,This is a must read
Ronald Jenkins,"Reviewed in the United States on January 9, 2025",5.0 out of 5 stars,A very eye opening book on how the brain remembers....
Christal c.,"Reviewed in the United States on January 8, 2025",5.0 out of 5 stars,Great read and highly recommend.
lilly,"Reviewed in the United States on January 8, 2025",4.0 out of 5 stars,"Honestly this book is written well, organized, informative and has lots of scientific research studies simply explained. This book talks about traumatic experiences from research studies (Ex: war, abuse) and might trigger people or give them validation depending on the readers own perspective of the information. If you do not particularly like reading about research studies then it may take a while to read."
Scott H,"Reviewed in the United States on January 8, 2025",5.0 out of 5 stars,"A masterpiece destined to take its place among psychology and psychiatry’s greatest works; indispensable reading for any student, professional, or paraprofessional working with trauma-affected clients or pupils."
Kat,"Reviewed in the United States on January 8, 2025",2.0 out of 5 stars,"it was a recommended book from a friend, but I had a hard time understanding it, but that is just me, I have a real hard time with reading, but I'm sure others would benefit from it"
K.A.K.,"Reviewed in the United States on January 8, 2025",3.0 out of 5 stars,"""We now know that there is another possible response to threat, which our scans aren't capable of measuring. Some people simply go into denial: Their bodies register the threat, but their conscious minds go on as if nothing has happened. However, even though the mind may learn to ignore the messages from the emotional brain, the alarm signals don't stop. The emotional brain keeps working, and stress hormones keep sending signals to the muscles to tense for action or immobilize in collapse. The physical effects on the organs go on unabated until they demand notice when they are expressed as illness. Medications, drugs, and alcohol can also temporarily dull or obliterate unbearable sensations and feelings. But the body continues to keep the score.""

I’ve dedicated January 2025 to reading books that have been languishing on my TBR list. The Body Keeps the Score is the first of four that I’ve chosen. I became interested in reading this after it was recommend by a podcaster I regularly listen to. I started and stopped it a couple of times in 2024. I wasn’t fully prepared for how dense it is.

The book begins with a history of the development of the modern medical approach to mental suffering and includes many examples from the author's own education and practice. There are a lot of scientific details and uncomfortable accounts of child abuse, sexual assaults, and wartime atrocities.

Things I liked:

The chapter on the body-brain connections, particularly the description of fight, flight, or freeze and the reasons behind the physical manifestations we experience during these states.

The part that discusses the paths to recovery. It was interesting to read about various treatment modalities.

Things I didn't like:

This is a long book and I kind of got lost in all the words. I feel like the word count could have been cut in half and it would have been a much more understandable read.

The author speaks of repressed memories as settled fact, but they have not been supported by research and are not universally accepted as true.

The details of various traumas, particularly child sexual abuse, seemed unnecessary and could be triggering for some individuals. I feel like this was an unwise inclusion in a book geared to people who have experienced trauma.

There is no discussion of the resiliency of humans. If you were to believe this book, everyone who has experienced trauma would be unable to function without professional help, but many do recover on their own and go on to live healthy, well adjusted lives.

I am glad I read this book to have an idea of what everyone is talking about and it did give me some things to think about, but I am surprised that it is so popular with such high reviews. It was a slog for me and I'm glad to be done reading it."
Mandi Mills,"Reviewed in the United States on January 6, 2025",3.0 out of 5 stars,"This book wasn’t for me. There’s nothing really bad about it, but sometimes you just know when a book isn’t a good fit for you, and that was the case here. It didn’t capture my interest, and I couldn’t quite connect with it. It might be great for others, but it just wasn’t my vibe."
Kimberly,"Reviewed in the United States on January 6, 2025",5.0 out of 5 stars,This book perfectly captures what trauma does to the body and psyche. Great book to add to a self help collection.
Melissa Ortiz,"Reviewed in the United States on January 6, 2025",5.0 out of 5 stars,"This has been the most eye opening read of my life.

It took me weeks to get through it only because every 25 pages or so, I would have such a deep life changing realization that I would have to stop and ponder and journal for a few days before I could continue.

Highly, highly recommend."
Amazon Customer,"Reviewed in the United States on January 4, 2025",5.0 out of 5 stars,This is a great book - but it can be triggering if you have trauma. But it was the trigger I needed actually. I felt validated. This is a book I am keeping! GREAT BOOK!!!
Amazon Customer,"Reviewed in the United States on January 4, 2025",5.0 out of 5 stars,Definitely worth reading! Very educational!
Nerdy Guy,"Reviewed in the United States on January 3, 2025",5.0 out of 5 stars,"This book gives great perspective on mental health. Definitely recommend it. 10/10. The writing is just so well done it keeps you engaged and it's hard to put it down. Absolutely love this book.

I highly recommend you read this if you are struggling with mental health."
Denise D. Ahlquist,"Reviewed in the United States on January 2, 2025",5.0 out of 5 stars,"This book will be so helpful to anyone who has been impacted by trauma, directly or indirectly. Understanding the mind-brain-body connections helps explain so much that otherwise is hard to make sense of. Well-written and research-based, the author's expertise and empathy shines throughout."
L. Harris,"Reviewed in the United States on January 2, 2025",1.0 out of 5 stars,"This arrived book cover torn, first couple pages slightly torn, and looked as though someone spilled water or some beverage on/in it as the pages are warped. Now I have to go to a UPS store to return... that wasn't the idea."
Cliente de Kindle,"Reviewed in the United States on January 2, 2025",5.0 out of 5 stars,"Bessel van der Kolk does an amazing job explaining the complexity of trauma in an easy-to-understand way. The stories he shared in this book are very helpful to see the effects of trauma and effectiveness of different interventions. This book gives me hope in a future where medicine is practiced in a holistic way, with compassion, and integrating community in the process of healing and recovery."
GWS,"Reviewed in the United States on January 2, 2025",3.0 out of 5 stars,"This is one of few books I decided not to finish. It will definitely be a great read for some, especially those abused as children. My trauma started later in life not early childhood. Reading this book I began to question…was I a good enough parent? Did I hurt my kids in the womb? Are my feelings of trauma legit because I was not sexually abused as a child? So many questions…. This book was a step backward for my personal journey. It made my trauma feel less true. But, just because I was not a good audience for this book, does not make it any less valuable for so many others who are this book’s audience."
Matthew Marting,"Reviewed in the United States on December 31, 2024",5.0 out of 5 stars,"If we had books like this on other things like diabetes, med students would be set. I found it difficult to read because the revelations I had while I read it would unearth some stuff that I had to deal with before resuming. It’s a collection of tons and tons of information you would otherwise have to research and piece together from a bunch of studies, textbooks, even from different disciplines. You’d probably spend 10-20 years doing it. But you don’t have to, because this guy did it for you."
Dawn✌️,"Reviewed in the United States on December 30, 2024",1.0 out of 5 stars,"I've had some traumatic medical issues that have led to severe adrenals issues, making it very difficult to deal with any stressor at all. The best way to heal adrenals is to care for yourself and heal trauma.
I quickly learned this book is NOT for those with very fresh or current trauma. It includes a ton of very traumatic stories and examples. If you are someone who is okay and just want to heal some childhood trauma, this is probably good. It's probably very stressful even for a regular person, because it's gong to make you dive into trauma, yours and the people mentioned in the book. If you are emotionally or psychologically very fragile like me, this is not for you. I made it 10 pages in, scanned the rest to see if it gets to anything different, and it doesn't."
Anna P,"Reviewed in the United States on December 30, 2024",1.0 out of 5 stars,This author completely misconstrues the research he quotes. And this is according to the researchers themselves. He refuses to address systemic violence in our society. He essentially blames victims for their illnesses.
Melissa S,"Reviewed in the United States on December 29, 2024",5.0 out of 5 stars,I'm only about 100 pages into this book and can already see it's helping me make connections to reactions.
KCRN,"Reviewed in the United States on December 29, 2024",5.0 out of 5 stars,Good book easy to read but hard to handle. Don’t read it before bed if you’re trying to get a good nights sleep.
Bethlehemer,"Reviewed in the United States on December 29, 2024",5.0 out of 5 stars,"What more can be said that's not already in the other reviews. This book changed my life. Got me back into counseling, doing EMDR and gave me hope."
Angelica,"Reviewed in the United States on December 29, 2024",5.0 out of 5 stars,"This book really impacted me, it made me learn a lot about myself and the fact I do have PTSD, along with my sister. Since finishing this book, I’ve gotten diagnosed with PTSD and a few other conditions. I will be working on healing without medication. I actually listened to this book through audible but loved it so much I had to get a physical copy. For anyone wanting to dive into PTSD and healing, I highly suggest this book. I could keep going on about all the ways it educated and validated me."
The bangs look nothing like the picture. Looks very piggy. Probably best used for a Halloween costume!,"Reviewed in the United States on December 27, 2024",5.0 out of 5 stars,"Once I started reading it, I couldn't put it down. Great book!!"
Brandon P,"Reviewed in the United States on December 25, 2024",5.0 out of 5 stars,"Great read, allowed me to start finding peace with my past. Helped me move closer to finding the right answers."
G. G,"Reviewed in the United States on December 24, 2024",1.0 out of 5 stars,"I had high hopes for this book. However, it was very repetitive. I couldn’t bear it any longer. I am returning it. Not worth the read."
patricia rose,"Reviewed in the United States on December 19, 2024",5.0 out of 5 stars,Nicely constructed book value for the price
D Lamb,"Reviewed in the United States on December 19, 2024",5.0 out of 5 stars,a great helpful book
Owen and Ashley,"Reviewed in the United States on December 18, 2024",5.0 out of 5 stars,N/A
Brooke,"Reviewed in the United States on December 16, 2024",5.0 out of 5 stars,This book was recommended to me by several professionals and I finally bought it.
Darian,"Reviewed in the United States on December 9, 2024",5.0 out of 5 stars,"This is a HARD read. It's a good book, but man, oh, man is it tough. It provides such insight into the human response to stress and reactions to difficult circumstances that have been long ignored. I got it after it was recommended to me and holy buckets, it's a good book. It is tough, but it's worth it."
Katie burris,"Reviewed in the United States on December 9, 2024",2.0 out of 5 stars,"I bought this book at the recommendation of a therapist. I saw for anxiety, but it was very difficult for me to get into the book because it read like it would be more suitable to military personnel who are suffering from PTSD."
Georgia,"Reviewed in the United States on December 9, 2024",5.0 out of 5 stars,This book has real life stories and makes you think. Everyone should read this book.
The Twin Flames,"Reviewed in the United States on December 7, 2024",5.0 out of 5 stars,"This book explains so well how trauma can and will affect us, not only on the psychological level, but also on the psychical level, where the body always keeps the score. Not until we really understand and become aware that we are not in actual danger anymore, then we can heal. The book is a must for people who have had traumatic lives and upbringings without being able to understand and heal."
Amazon Customer,"Reviewed in the United States on December 5, 2024",5.0 out of 5 stars,Lots of information and plenty to chew on
Tami Hayhurst,"Reviewed in the United States on December 5, 2024",5.0 out of 5 stars,Trauma touches all of us and we are all resilient in different ways. This book was so incredibly insightful. Read it!! I am a DV survivor and this one sunk into my brain
Alexis,"Reviewed in the United States on December 5, 2024",5.0 out of 5 stars,I’m a trauma therapist and use points from this book to help explain to clients how trauma impacts all aspects of our mind and body. I’m able to use/apply some of the examples in the book to connect things for myself and clients. Book is comprehensive and written in a way that you’re able to understand and make sense of.
D.Owen,"Reviewed in the United States on December 2, 2024",5.0 out of 5 stars,The insights are very thought provoking along with the renewed hope for reclaiming our lives.
Corky,"Reviewed in the United States on December 1, 2024",5.0 out of 5 stars,"I bought and read this some time ago, so I cannot be as specific as I would like. But this is an important text about important phenomena. I live with body memories from past trauma on a daily basis. Authors like this help me know I am not crazy and it is not my fault."
Anthony Reggio,"Reviewed in the United States on November 27, 2024",5.0 out of 5 stars,One of the best books ever written. Highly recommended!
