User Name,Review Date,Rating,Review Body
anonymous1,"Reviewed in the United States on December 1, 2023",2.0 out of 5 stars,"Unfortunately, I can't give this book that positive of a review. I was greatly looking forward to it, to understand the psychological side of trauma, which it did a fine job of explaining it. But... if you have suffered a great deal of trauma and are working through it, this book, the clinical studies and explanations of patient history is traumatizing. And i feel quite secure with my own trauma. But as an ""empath"" and ""sensitive,"" I could feel the weight, the gravity and the smothering feeling of the findings and explanations. Honestly, I can't recommend it. If you want to explore the brain, neuro pathways, human behavior-- it's great. If you want to personally heal your trauma, it may be a massive, not fun and completely un-necessary trigger. My personal journey, my ""triggers"" arose precisely when they were meant to and in a way that I was able to spare myself of additional trauma and heal myself. Something like this, that at times, in my opinion, was graphic, may cause more harm. I just wanted to point this out. I found this book borderline disturbing."
User_Amazon,"Reviewed in the United States on November 26, 2023",2.0 out of 5 stars,"I wish I had known this book was triggering. I thought, with a book about trauma, they would know how to write it with care. This is not the case. I’m sure the book is helpful, but if one cannot read it because it states triggering words, phrases, and describing actions clearly and bluntly, is it useful to those who could truly benefit from it?"
ElMexicano,"Reviewed in the United States on October 15, 2023",2.0 out of 5 stars,"The book focuses on trauma and the people that went through it. It does mention EMDR therapy and drugs as a solution. I was looking more for coping strategies and cognitive behavioral theory, which this book does not cover."
Moon29,"Reviewed in the United States on September 29, 2023",2.0 out of 5 stars,1. If you have PTSD or CPTSD this will trigger you. 2. His ramblings are very annoying. I want solutions to the stories he tells. This book made me angry!
texas buyer,"Reviewed in the United States on September 26, 2023",2.0 out of 5 stars,I bought this book due to its wildly popularity. I couldn't even finish it. I found the tone very dismissive and reductionist. I am glad so many find it helpful but take heed if you are a survivor before reading.
Kim M,"Reviewed in the United States on September 26, 2023",2.0 out of 5 stars,It was hard for me to get through reading this because it was more research paper like with more medical / research jargon that I would have liked.
alexander,"Reviewed in the United States on September 17, 2023",2.0 out of 5 stars,"This book is more about behind the senes and nuance proceesies rather then conclusions and lessons learned and practical guide. is also more of a dacumantary and origins/development of ptsd.
Wouldnt recomend this book for people who just want, the basics and practical self aid. This book is more for academical broad context and for advanced practitioners in the field, with high prefrontal pain treshhold."
brittany,"Reviewed in the United States on August 25, 2023",2.0 out of 5 stars,This book in particular has great information but seems be misprinted or grammatically incorrect which I doubt. I’m hoping you all have a better experience.
sarah,"Reviewed in the United States on August 4, 2023",2.0 out of 5 stars,Wow I just saw I ordered this book last year … a year of picking it up and putting it down. I want to see what this book is about and I’m trying but I’m not a researcher/therapist ( many things my therapist has discussed are recognizable).. so I’m STARING anew at chapter 6.
Colette Peterson,"Reviewed in the United States on July 29, 2023",2.0 out of 5 stars,I as a grieving mother was hoping that i could find answers in the book to help. If you are a child maybe. Grief for a parent no!
