User Name,Review Date,Rating,Review Body
Audrey Carlan,"March 4, 2025",5.0,Really powerful and thoughtful messaging. I loved it.
erin1,"March 1, 2025",5.0,I usually read murder/mystery books. This was a nice change of pace. A lot of things I had no idea about him as an actor and what a childhood…wow!
SHM,"February 27, 2025",5.0,This book initiated a major introspective view of self.
AngelMC,"February 26, 2025",5.0,Came just as expected; good quality paperback.
Beena05,"February 22, 2025",5.0,Great read!
Dan,"February 17, 2025",5.0,"Such a really great book. Loved the cover even though I got the paper version, it was in good condition."
Jake O'Donnell,"February 13, 2025",5.0,"Greenlights by Matthew McConaughey is an exceptional memoir that goes beyond the typical celebrity autobiography. I found it to be a raw, honest, and philosophical journey through his life experiences. McConaughey’s storytelling is captivating, filled with humor, wisdom, and unique insights.

I loved how he shared not just his successes but also his struggles and lessons learned along the way. His concept of ‘greenlights’ as opportunities for growth and change really resonated with me. The book is filled with anecdotes, poetry, and personal reflections that are both entertaining and thought-provoking.

It’s a beautifully written narrative that feels genuine and relatable. Whether you’re a fan of his movies or just looking for inspiration, Greenlights is a must-read. It left me feeling motivated and ready to embrace life’s challenges with a new perspective. Highly recommended!"
Beckie,"February 13, 2025",5.0,Loved this book - great read!
Toni Hagan-Ording,"February 9, 2025",5.0,"Have always admired and appreciated Matthew and Greenlights just explains why. He thinks inwardly and is ever optimistic and articulate. Thanks, Matt for sharing yourself with us! Greenlights for sure."
Shannon Stephan,"February 9, 2025",5.0,"So well written and a journey through his life in a profound way. Deep and rewarding, highly recommend for those who like an experience"
Bmitch,"February 7, 2025",5.0,I usually struggle with non fiction but this was an easy read for me. He has an interesting story to tell. About his life all together but also the doors that opened for him to be where he is today. ( green lights)
PCDOC,"February 5, 2025",5.0,I like Matthew McConuaghey's approach to life. The book is an interesting read and says a lot about who Matthew is.
josiah reutener,"February 3, 2025",5.0,love this book really brings the life of a Hollywood star into perspective of someone who is not.
Ben Williams,"January 29, 2025",5.0,"I bought this as a gift and the recipient loved it! There are some accompanying journals and such that look interesting, but I did not purchase."
Aspire C,"January 21, 2025",5.0,"Each alright is a green light. Beautifully told, these life lessons bear the authors soul with thought provoking beliefs and experiences. The ups, the downs, the fame and fortune, and not so fortunate times of his life. Searching for answers and finding them at each chapter of his life anew. It’ll make you laugh, make you think, and best of anll inspire you to live your best life."
Vicki,"January 17, 2025",5.0,I don’t think I’m the beginning I was going to think this would be a good read. I love to watch McConaughey in all his movies. But a book??? And oh I absolutely loved it and highly recommend it :)
LKM,"January 14, 2025",5.0,"What a great book! Matthew's voice is amazing to listen to, and I love how he tells his story!"
kimberly,"January 11, 2025",5.0,Grate read.
Amazon Customer,"January 11, 2025",5.0,"Aunque no me llamaba la atención leer la vida de un actor, creo que es más que un actor sino un artista en busca de nuevos retos."
Isaac Millburn,"January 10, 2025",5.0,It wasnt life changing but its a fun read.
Interesting AF,"January 7, 2025",5.0,"I finally caved and listened on library audiobook after a friend recommended it. It was fantastic. I am embarrassed to admit that I thought MM was some hot Hollywood shallow vapid bonehead, but he is actually a smart, kind, thoughtful and very deep individual. I was so impressed and inspired by this whole book and it was so well written. I recommend the audio version because he has a nice voice and it really draws you into his compelling true-storytelling. I bought this hardback for a white elephant holiday party and it was the most sought after item! I am sure they enjoyed this too. Well done MM. Thanks for changing my (poor) judgement ...a greenlight for me."
teenmom,"January 6, 2025",5.0,I read this book over a year ago. My husband who is not a big reader asked me to get him this book. He read it in four days. excellent book!
Not puzzled,"January 6, 2025",5.0,Enjoyed getting to know Matthew through his life stories.
Carole,"January 2, 2025",5.0,I loved this book read by the author himself! Gave me a new appreciation of the man’s intelligence as well as his acting talent! You will not be disappointed.
Chikara Inamura,"December 30, 2024",5.0,"“We’re all gonna die, our eulogy will introduce us when we’re gone. So how are we gonna live a life we look forward to looking back at? How are we gonna make life a greenlight? Seems to be about wants and needs skill and timing responsibility and fate getting relative with the inevitable; persist, pivot, or concede. We’ll fight and make up, answer to our name, love, tell the truth, and just do it. We’ll sit, and talk, and listen initiated through rites of passage. We’ll learn fundamentals before raising our freak flags, confront to unify.”"
